Category,Product Group,Product Name,Colour Name,Images Files,Folder Path,Price
Chairs,Performance Mesh Chairs,Luxor,Black-Dark Grey,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg",Chairs/Performance Mesh Chairs/Luxor/Black-Dark Grey,13499.0
Chairs,Performance Mesh Chairs,Luxor,White-light Grey,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg",Chairs/Performance Mesh Chairs/Luxor/White-light Grey,13499.0
Chairs,Performance Mesh Chairs,Pointer,Black-Dark Grey,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg",Chairs/Performance Mesh Chairs/Pointer/Black-Dark Grey,12999.0
Chairs,Performance Mesh Chairs,Pointer,White-light Grey,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg",Chairs/Performance Mesh Chairs/Pointer/White-light Grey,12999.0
Tables,Bed Tables,Flex Apex,Black Marble,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg, 5.jpeg",Tables/Bed Tables/Flex Apex/Black Marble,1299.0
Tables,Bed Tables,Flex Apex,Wooden Teak,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg, 5.jpeg",Tables/Bed Tables/Flex Apex/Wooden Teak,1299.0
Tables,Executive Tables,Imperium,Beige+Wooden Teak,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg, 5.jpeg",Tables/Executive Tables/Imperium/Beige+Wooden Teak,14599.0
Tables,Executive Tables,Imperium,Dark Grey+Black Marble,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg, 5.jpeg",Tables/Executive Tables/Imperium/Dark Grey+Black Marble,14599.0
Tables,Executive Tables,Signature,Dark Grey+Black Marble,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg, 5.jpeg",Tables/Executive Tables/Signature/Dark Grey+Black Marble,15699.0
Tables,Folding Tables,Exquisite,Black Marble,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg",Tables/Folding Tables/Exquisite/Black Marble,8499.0
Tables,Folding Tables,Exquisite,Wooden Teak,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg",Tables/Folding Tables/Exquisite/Wooden Teak,8499.0
Tables,Folding Tables,Nextable,Wooden Teak,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg, 5.jpeg, 6.jpeg",Tables/Folding Tables/Nextable/Wooden Teak,12999.0
Tables,Gaming Desk,Phantom,Black,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg, 5.jpeg, 6.jpeg",Tables/Gaming Desk/Phantom/Black,14499.0
Tables,Gaming Desk,Quantum,Black,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg, 5.jpeg, 6.jpeg",Tables/Gaming Desk/Quantum/Black,14499.0
Tables,Height Adjustable Tables,Modexa,Wooden Teak,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg, 5.jpeg",Tables/Height Adjustable Tables/Modexa/Wooden Teak,12999.0
Tables,Height Adjustable Tables,Modulus,Wooden Teak,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg, 5.jpeg",Tables/Height Adjustable Tables/Modulus/Wooden Teak,17999.0
Tables,Height Adjustable Tables,Modura,Wooden Teak,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg, 5.jpeg",Tables/Height Adjustable Tables/Modura/Wooden Teak,8999.0
Tables,Height Adjustable Tables,Movix,Wooden Teak,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg, 5.jpeg",Tables/Height Adjustable Tables/Movix/Wooden Teak,22999.0
Tables,Study Tables,Zenith,Wooden Teak,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg",Tables/Study Tables/Zenith/Wooden Teak,9999.0
Tables,Study Tables,Zenvy,Wooden Teak,"1.jpeg, 2.jpeg, 3.jpeg, 4.jpeg",Tables/Study Tables/Zenvy/Wooden Teak,9999.0
